Column1,Column12,Column2,Column3,Column4
TableName,NewTableName,CurrentColumnName,KoreanName,NewColumnName
tb_admin_settings,TB_MNGR_SETT,job_id,작업 ID,CD
tb_admin_settings,TB_MNGR_SETT,connection_fail_threshold,연결 실패 임계값,CNN_FAILR_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,connection_warning_threshold,연결 경고 임계값,CNN_WARN_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,connection_fail_icon_id,연결 실패 아이콘 ID,CNN_FAILR_ICON_ID
tb_admin_settings,TB_MNGR_SETT,connection_fail_color,연결 실패 단어 색상,CNN_FAILR_WRD_COLR
tb_admin_settings,TB_MNGR_SETT,connection_warning_icon_id,연결 경고 아이콘 ID,CNN_WARN_ICON_ID
tb_admin_settings,TB_MNGR_SETT,connection_warning_color,연결 경고 단어 색상,CNN_WARN_WRD_COLR
tb_admin_settings,TB_MNGR_SETT,connection_success_icon_id,연결 성공 아이콘 ID,CNN_SUCS_ICON_ID
tb_admin_settings,TB_MNGR_SETT,connection_success_color,연결 성공 단어 색상,CNN_SUCS_WRD_COLR
tb_admin_settings,TB_MNGR_SETT,daily_success_rate_threshold,일일 성공률 임계값,DLY_SUCS_RT_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,weekly_success_rate_threshold,주간 성공률 임계값,DD7_SUCS_RT_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,monthly_success_rate_threshold,월간 성공률 임계값,MTHL_SUCS_RT_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,half_yearly_success_rate_threshold,반기 성공률 임계값,MC6_SUCS_RT_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,yearly_success_rate_threshold,연간 성공률 임계값,YY1_SUCS_RT_THRS_VAL
tb_admin_settings,TB_MNGR_SETT,rate_success_icon_id,성공률 성공 아이콘 ID,SUCS_RT_SUCS_ICON_ID
tb_admin_settings,TB_MNGR_SETT,rate_success_color,성공률 성공 단어 색상,SUCS_RT_SUCS_WRD_COLR
tb_admin_settings,TB_MNGR_SETT,rate_warning_icon_id,성공률 경고 아이콘 ID,SUCS_RT_WARN_ICON_ID
tb_admin_settings,TB_MNGR_SETT,rate_warning_color,성공률 경고 단어 색상,SUCS_RT_WARN_WRD_COLR
tb_admin_settings,TB_MNGR_SETT,chart_period_value,차트 기간 값,CHRT_PRD_VALUE
tb_admin_settings,TB_MNGR_SETT,chart_type,차트 유형,CHRT_TP
tb_admin_settings,TB_MNGR_SETT,chart_display_job_ids,차트 표시 작업 ID,CHRT_DSP_JOB_ID
tb_admin_settings,TB_MNGR_SETT,is_displayed,차트 표시 여부,CHRT_DSP_YN
tb_admin_settings,TB_MNGR_SETT,chart_color,차트 색상,CHRT_COLR
tb_admin_settings,TB_MNGR_SETT,jandi_min_color,잔디 차트 최소 색상,GRASS_CHRT_MIN_COLR
tb_admin_settings,TB_MNGR_SETT,jandi_max_color,잔디 차트 최대 색상,GRASS_CHRT_MAX_COLR
tb_con_hist_event_log,TB_CON_HIST_EVNT_LOG,id,이벤트 로그 ID,EVNT_ID
tb_con_hist_event_log,TB_CON_HIST_EVNT_LOG,event_type,이벤트 유형,EVNT_TP
tb_con_hist_event_log,TB_CON_HIST_EVNT_LOG,event_time,이벤트 시간,EVNT_OCCR_TIME
tb_con_hist_event_log,TB_CON_HIST_EVNT_LOG,changed_row,변경된 행 데이터,EVNT_CHG_ROW
tb_data_spec_params,TB_DATA_SPEC_PARM,id,파라미터 ID,PARM_ID
tb_data_spec_params,TB_DATA_SPEC_PARM,spec_id,API 명세 ID,API_SPEC_ID
tb_data_spec_params,TB_DATA_SPEC_PARM,param_type,파라미터 유형,PARM_TP
tb_data_spec_params,TB_DATA_SPEC_PARM,name_ko,파라미터명 (한글),PARM_NM_KRN
tb_data_spec_params,TB_DATA_SPEC_PARM,name_en,파라미터명 (영문),PARM_NM_ENG
tb_data_spec_params,TB_DATA_SPEC_PARM,description,설명,expl
tb_data_spec_params,TB_DATA_SPEC_PARM,is_required,필수 여부,NCSR_YN
tb_icons,TB_ICON,icon_id,아이콘 ID,ICON_ID
tb_icons,TB_ICON,icon_code,아이콘 코드,ICON_CD
tb_icons,TB_ICON,icon_name,아이콘명,ICON_NM
tb_icons,TB_ICON,description,설명,ICON_EXPL
tb_icons,TB_ICON,created_at,생성일시,ICON_CRE_DT
tb_icons,TB_ICON,display_yn,표시 여부,ICON_DSP_YN
tb_menus,TB_MENU,menu_id,메뉴 ID,MENU_ID
tb_menus,TB_MENU,menu_name,메뉴명,MENU_NM
tb_menus,TB_MENU,menu_url,메뉴 URL,MENU_URL
tb_user_access_control,TB_USER_AUTH_CTRL,id,접근 제어 ID,AUTH_ID
tb_user_access_control,TB_USER_AUTH_CTRL,user_id,사용자 ID,USER_ID
tb_user_access_control,TB_USER_AUTH_CTRL,menu_id,메뉴 ID,MENU_ID
tb_user_access_control,TB_USER_AUTH_CTRL,permission,권한 여부,AUTH_YN
tb_user_access_log,TB_USER_ACS_LOG,log_id,로그 ID,USER_LOG_ID
tb_user_access_log,TB_USER_ACS_LOG,user_id,사용자 ID,USER_ID
tb_user_access_log,TB_USER_ACS_LOG,menu_name,메뉴명,MENU_NM
tb_user_access_log,TB_USER_ACS_LOG,access_time,접속 시간,ACS_TIME
tb_users,TB_USER,user_id,사용자 ID,USER_ID
tb_users,TB_USER,password,비밀번호,USER_PWD
tb_users,TB_USER,status,계정 상태,ACC_STS
tb_users,TB_USER,created_at,생성일시,ACC_CRE_DT
tb_users,TB_USER,approved_at,승인일시,ACC_APR_DT
